epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,286.697,0.91467,0.42153,0.96864,0.97357,0.96238,0.9777,0.76011,0.83323,0.3442,0.93207,0.000660045,0.000660045,0.000660045
43,293.485,0.92439,0.42956,0.97338,0.99436,0.97956,0.9914,0.76289,0.86624,0.35612,0.94071,0.000649046,0.000649046,0.000649046
44,300.323,0.90703,0.424,0.96717,0.99216,0.96106,0.98298,0.74427,0.8523,0.35489,0.94012,0.000638047,0.000638047,0.000638047
45,307.108,0.90674,0.42036,0.96398,0.99309,0.9757,0.98122,0.77058,0.84764,0.35244,0.93078,0.000627048,0.000627048,0.000627048
46,313.921,0.88974,0.41729,0.95915,0.9678,0.96078,0.98342,0.7764,0.84076,0.35116,0.92727,0.000616049,0.000616049,0.000616049
47,320.739,0.90054,0.42207,0.96731,0.94474,0.91128,0.95121,0.71836,0.88054,0.3543,0.95027,0.000605051,0.000605051,0.000605051
48,327.607,0.89737,0.41161,0.96563,0.99072,0.96213,0.97868,0.75673,0.86455,0.35628,0.94254,0.000594052,0.000594052,0.000594052
49,334.404,0.89468,0.40852,0.96067,0.96065,0.96218,0.97032,0.75662,0.83613,0.34607,0.92951,0.000583053,0.000583053,0.000583053
50,341.194,0.8818,0.40923,0.95789,0.95744,0.97556,0.97304,0.75853,0.81548,0.34391,0.9242,0.000572054,0.000572054,0.000572054
51,347.987,0.86771,0.40438,0.95251,0.97015,0.96325,0.97202,0.7428,0.82443,0.34424,0.92449,0.000561055,0.000561055,0.000561055
52,354.782,0.86022,0.40138,0.95366,0.95124,0.99746,0.98133,0.75369,0.86777,0.34858,0.93867,0.000550056,0.000550056,0.000550056
53,361.594,0.8597,0.40219,0.95535,0.97802,0.97815,0.97888,0.7746,0.82143,0.33573,0.9264,0.000539057,0.000539057,0.000539057
54,368.379,0.85859,0.4006,0.95099,0.95182,0.94248,0.95305,0.75898,0.80145,0.33308,0.91518,0.000528058,0.000528058,0.000528058
55,375.169,0.84812,0.39397,0.94766,0.93618,0.96355,0.94456,0.7486,0.79461,0.32812,0.91231,0.000517059,0.000517059,0.000517059
56,381.954,0.85422,0.3981,0.95222,0.93846,0.96273,0.96071,0.75702,0.79471,0.32351,0.91819,0.00050606,0.00050606,0.00050606
57,388.817,0.84577,0.39428,0.94766,0.96999,0.96195,0.97572,0.78643,0.78451,0.32877,0.91248,0.000495062,0.000495062,0.000495062
58,395.641,0.83906,0.38933,0.94429,0.99134,0.9442,0.97587,0.76836,0.78579,0.32305,0.91068,0.000484063,0.000484063,0.000484063
59,402.435,0.84017,0.38618,0.94738,0.94234,0.926,0.94449,0.74032,0.82038,0.33528,0.9227,0.000473064,0.000473064,0.000473064
60,409.218,0.84161,0.38687,0.94759,0.94744,0.97944,0.9715,0.77891,0.77775,0.32097,0.90552,0.000462065,0.000462065,0.000462065
61,416.007,0.82701,0.38432,0.93942,0.96382,0.98021,0.98149,0.78469,0.80509,0.32659,0.91195,0.000451066,0.000451066,0.000451066
62,422.803,0.81409,0.37724,0.93539,0.94981,0.97981,0.97219,0.7934,0.77532,0.31406,0.90278,0.000440067,0.000440067,0.000440067
63,429.617,0.81554,0.37574,0.93584,0.9395,0.96541,0.97298,0.78412,0.7855,0.31338,0.90831,0.000429068,0.000429068,0.000429068
64,436.474,0.81191,0.37144,0.93514,0.97613,0.94566,0.96717,0.78158,0.77459,0.31721,0.90403,0.000418069,0.000418069,0.000418069
65,443.262,0.81532,0.37321,0.94222,0.95655,0.94435,0.95666,0.77551,0.7718,0.31441,0.90447,0.00040707,0.00040707,0.00040707
66,450.05,0.80203,0.36872,0.93681,0.95164,0.97474,0.96957,0.79701,0.75941,0.31337,0.90224,0.000396071,0.000396071,0.000396071
67,456.874,0.80766,0.37158,0.93746,0.95668,0.94002,0.9658,0.78156,0.7663,0.32273,0.90452,0.000385073,0.000385073,0.000385073
68,463.665,0.80671,0.36542,0.934,0.97342,0.94546,0.96731,0.77008,0.77193,0.31321,0.90413,0.000374074,0.000374074,0.000374074
69,470.463,0.77912,0.36396,0.92423,0.9798,0.97939,0.98391,0.78986,0.76502,0.30484,0.89984,0.000363075,0.000363075,0.000363075
70,477.248,0.78473,0.36319,0.93127,0.99362,0.97975,0.98342,0.79446,0.74264,0.30869,0.89785,0.000352076,0.000352076,0.000352076
71,484.041,0.77538,0.35868,0.92447,0.95564,0.92788,0.95778,0.76833,0.75284,0.30799,0.899,0.000341077,0.000341077,0.000341077
72,490.821,0.77408,0.35713,0.92321,0.97937,0.96097,0.97523,0.78055,0.74563,0.30033,0.89479,0.000330078,0.000330078,0.000330078
73,497.69,0.76742,0.35552,0.92615,0.96105,0.96253,0.98216,0.78141,0.76839,0.30742,0.90375,0.000319079,0.000319079,0.000319079
74,504.479,0.78065,0.35977,0.9291,0.94922,0.9802,0.97384,0.79522,0.73831,0.30107,0.89288,0.00030808,0.00030808,0.00030808
75,511.264,0.7669,0.35486,0.92275,0.978,0.95545,0.98251,0.80226,0.72879,0.2987,0.89155,0.000297081,0.000297081,0.000297081
76,518.077,0.75934,0.34958,0.92068,0.9474,0.99677,0.98111,0.79629,0.73189,0.29719,0.8903,0.000286083,0.000286083,0.000286083
77,524.857,0.75489,0.34949,0.91824,0.93852,0.97982,0.97952,0.7904,0.73291,0.29957,0.89172,0.000275084,0.000275084,0.000275084
78,531.64,0.75206,0.34559,0.91827,0.97034,0.96258,0.98493,0.79904,0.73497,0.2961,0.89204,0.000264085,0.000264085,0.000264085
79,538.43,0.75538,0.347,0.92196,0.97682,0.97918,0.98629,0.79366,0.73744,0.30071,0.8912,0.000253086,0.000253086,0.000253086
80,545.223,0.73872,0.34076,0.9153,0.96323,0.9753,0.98209,0.80199,0.72352,0.29303,0.88785,0.000242087,0.000242087,0.000242087
81,552.106,0.72363,0.33306,0.91178,0.9939,0.94583,0.97944,0.81123,0.71438,0.2901,0.88419,0.000231088,0.000231088,0.000231088
82,558.933,0.7428,0.34259,0.91606,0.99222,0.94631,0.97194,0.78405,0.71129,0.29376,0.88464,0.000220089,0.000220089,0.000220089
83,565.733,0.72881,0.33761,0.91468,0.96105,0.98024,0.98166,0.79563,0.71106,0.28927,0.8845,0.00020909,0.00020909,0.00020909
84,572.515,0.71798,0.32947,0.91049,0.97595,0.9806,0.97898,0.80968,0.69349,0.2825,0.88157,0.000198091,0.000198091,0.000198091
85,579.318,0.72228,0.33333,0.90727,0.9411,0.96858,0.97156,0.81001,0.70094,0.2836,0.88006,0.000187092,0.000187092,0.000187092
86,586.124,0.72516,0.33145,0.91376,0.97282,0.94621,0.97471,0.80593,0.69778,0.28216,0.87823,0.000176094,0.000176094,0.000176094
87,592.908,0.70501,0.32613,0.9098,0.97586,0.96314,0.97927,0.81453,0.69362,0.28097,0.87801,0.000165095,0.000165095,0.000165095
88,599.718,0.70045,0.32574,0.90478,0.94111,0.98046,0.97597,0.81286,0.69238,0.28014,0.87629,0.000154096,0.000154096,0.000154096
